epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.16,2.17691,3.56981,0.02989,0.05376,0.08992,0.01801,0.00478,2.56962,21.9,0.05695,0.00332036,0.00332036,0.0701167
2,350.135,2.14659,3.19935,0.02943,0.04178,0.02215,0.00547,0.00119,3.31895,8.28798,0.07099,0.00639021,0.00639021,0.0398532
3,518.457,2.04612,2.94975,0.02825,0.17557,0.26825,0.10112,0.03109,2.15697,10.005,0.03882,0.00919606,0.00919606,0.00932576
4,687.056,2.012,2.77115,0.02721,0.17644,0.27777,0.10502,0.02371,2.37167,5.18555,0.0472,0.008812,0.008812,0.008812
5,855.944,2.01322,2.62269,0.02678,0.45302,0.30356,0.25094,0.09277,1.87538,4.07083,0.03277,0.008416,0.008416,0.008416
6,1024.76,1.90603,2.49721,0.02626,0.37407,0.37555,0.31074,0.12477,1.71114,4.17115,0.02794,0.00802,0.00802,0.00802
7,1193.6,1.89302,2.4212,0.02553,0.47593,0.40637,0.41862,0.18603,1.76836,2.54291,0.02949,0.007624,0.007624,0.007624
8,1362.26,1.84665,2.31399,0.02499,0.5481,0.54419,0.54303,0.2555,1.57893,2.7388,0.02609,0.007228,0.007228,0.007228
9,1530.81,1.8352,2.21947,0.02475,0.54904,0.52441,0.49535,0.19118,1.86527,2.09,0.0302,0.006832,0.006832,0.006832
10,1699.1,1.79584,2.13811,0.02404,0.63787,0.55275,0.61518,0.28278,1.72676,1.9258,0.0288,0.006436,0.006436,0.006436
11,1867.57,1.79798,2.06459,0.02442,0.67866,0.62213,0.66142,0.33531,1.5827,2.27902,0.02526,0.00604,0.00604,0.00604
12,2036.1,1.76275,2.02545,0.02266,0.66957,0.59205,0.62195,0.27719,1.7572,2.05553,0.03072,0.005644,0.005644,0.005644
13,2204.11,1.73226,1.96288,0.02335,0.70721,0.59328,0.6737,0.33797,1.63201,1.81351,0.02681,0.005248,0.005248,0.005248
14,2372.39,1.721,1.89469,0.02263,0.66324,0.56183,0.62194,0.30721,1.68225,1.52951,0.02744,0.004852,0.004852,0.004852
15,2540.5,1.69443,1.88734,0.02259,0.69202,0.64159,0.71454,0.35537,1.64804,1.79847,0.02861,0.004456,0.004456,0.004456
16,2708.95,1.67703,1.65213,0.02888,0.67656,0.6157,0.67867,0.34823,1.54502,1.60391,0.02504,0.00406,0.00406,0.00406
17,2878.81,1.61964,1.56979,0.02753,0.75215,0.66497,0.72591,0.39187,1.50313,1.61139,0.02442,0.003664,0.003664,0.003664
18,3050.1,1.61193,1.48441,0.02796,0.70765,0.6705,0.72781,0.39341,1.52536,1.40051,0.02494,0.003268,0.003268,0.003268
19,3221.32,1.61183,1.41378,0.02744,0.75443,0.68391,0.77322,0.40751,1.52868,1.20666,0.02414,0.002872,0.002872,0.002872
20,3392.57,1.56624,1.34473,0.02685,0.76379,0.69426,0.78061,0.43537,1.4258,1.28434,0.02224,0.002476,0.002476,0.002476
21,3562.13,1.52316,1.32586,0.02612,0.82195,0.70529,0.80475,0.46015,1.35597,1.23755,0.02066,0.00208,0.00208,0.00208
22,3729.8,1.50099,1.25521,0.02503,0.78526,0.70792,0.78985,0.45087,1.38513,1.06409,0.02134,0.001684,0.001684,0.001684
23,3896.99,1.48846,1.21116,0.0248,0.80622,0.73096,0.816,0.46066,1.43288,1.03698,0.02275,0.001288,0.001288,0.001288
24,4064.24,1.44711,1.18663,0.02378,0.81902,0.71728,0.82212,0.47821,1.36785,1.02708,0.02087,0.000892,0.000892,0.000892
25,4231.44,1.43516,1.1385,0.02374,0.81385,0.74042,0.83056,0.48581,1.34922,1.00779,0.02032,0.000496,0.000496,0.000496
